,item_url,manufacturer,new_price,part_no
94,https://www.radwell.com/en-US/Buy/ASEA%20BROWN%20BOVERI/BALDOR%20RELIANCE/10,ASEA BROWN BOVERI,Call For Availability,10
95,https://www.radwell.com/en-US/Buy/INTERFACE/INTERFACE/MP15,INTERFACE,As Low As,MP15
96,https://www.radwell.com/en-US/Buy/VISHAY/VISHAY/MP15,VISHAY,As Low As,MP15
97,https://www.radwell.com/en-US/Buy/ROLLWAY%20BEARING/ROLLWAY%20BEARING/MP15,ROLLWAY BEARING,$162.89,MP15
98,https://www.radwell.com/en-US/Buy/SCHNEIDER%20ELECTRIC/TELEMECANIQUE/CAD50BD,SCHNEIDER ELECTRIC,$106.37,CAD50BD
99,https://www.radwell.com/en-US/Buy/ROLLWAY%20BEARING/ROLLWAY%20BEARING/730604,ROLLWAY BEARING,$790.86,730604
100,https://www.radwell.com/en-US/Buy/PRESTO%20TOOLS/PRESTO%20TOOLS/730604,PRESTO TOOLS,$38.67,730604
101,https://www.radwell.com/en-US/Buy/DOVER%20CORPORATION/CPC/730604,DOVER CORPORATION,$0.82,730604
102,https://www.radwell.com/en-US/Buy/SOCOMEC/SOCOMEC/60130004,SOCOMEC,$1.17,60130004
103,https://www.radwell.com/en-US/Buy/PEPPERL%20-AND-%20FUCHS/PEPPERL%20-AND-%20FUCHS/RJ21-E2,PEPPERL & FUCHS,$237.33,013004
104,https://www.radwell.com/en-US/Buy/LEGRAND/LEGRAND/013004,LEGRAND,$1.24,013004
105,https://www.radwell.com/en-US/Buy/CHROMALOX/CHROMALOX/013004,CHROMALOX,"$11,825.50",013004
106,https://www.radwell.com/en-US/Buy/ROLLWAY%20BEARING/ROLLWAY%20BEARING/730604,ROLLWAY BEARING,$790.86,730604
107,https://www.radwell.com/en-US/Buy/PRESTO%20TOOLS/PRESTO%20TOOLS/730604,PRESTO TOOLS,$38.67,730604
108,https://www.radwell.com/en-US/Buy/DOVER%20CORPORATION/CPC/730604,DOVER CORPORATION,$0.82,730604
